sedol,bbcode,LOTSIZE,STATUS,CURNY,PRICECLOSE,beta,sector,sector name,group,group name,exchange_rate
6109893,1171 HK Equity,2000,ACTV,HKD,6.63,1.221226,10,Energy,1010,Energy,0.12901
6110624,CSC SP Equity,1000,ACTV,SGD,0.073,0.5076448,20,Industrials,2010,Capital Goods,0.8002
6111489,BVEST SP Equity,1000,ACTV,SGD,1.38,0.8882824,20,Industrials,2010,Capital Goods,0.8002
6112493,TSE SP Equity,1000,ACTV,SGD,0.365,0.3853218,20,Industrials,2010,Capital Goods,0.8002
6113292,592 HK Equity,2000,ACTV,HKD,0.68,0.559432,25,Consumer Discretionary,2550,Retailing,0.12901
6113634,BWAY SP Equity,1000,ACTV,SGD,0.225,1.100636,45,Information Technology,4520,Technology Hardware & Equipmen,0.8002
6115113,46 HK Equity,2000,ACTV,HKD,2.58,0.4080882,45,Information Technology,4510,Software & Services,0.12901
6116246,754 HK Equity,2000,ACTV,HKD,8.12,1.459723,40,Financials,4040,Real Estate,0.12901
6117391,1168 HK Equity,2000,ACTV,HKD,0.69,0.606327,40,Financials,4040,Real Estate,0.12901
6121778,1184 HK Equity,2000,ACTV,HKD,2.58,0.8580155,45,Information Technology,4520,Technology Hardware & Equipmen,0.12901
6121886,TCI SP Equity,3000,ACTV,HKD,3.18,0.6005586,25,Consumer Discretionary,2550,Retailing,0.12901
6123127,391 HK Equity,20000,ACTV,HKD,0.81,0.7857625,25,Consumer Discretionary,2540,Media,0.12901
6124216,898 HK Equity,2000,ACTV,HKD,0.305,1.014115,40,Financials,4040,Real Estate,0.12901
6126450,372 HK Equity,2000,ACTV,HKD,0.66,0.7186433,40,Financials,4020,Diversified Financials,0.12901
6129114,ENVH SP Equity,1000,ACTV,SGD,0.046,-0.2336796,15,Materials,1510,Materials,0.8002
6129288,498 HK Equity,2000,ACTV,HKD,0.179,0.661287,20,Industrials,2010,Capital Goods,0.12901
6129761,PSL SP Equity,1000,ACTV,SGD,0.19,0.7785937,20,Industrials,2010,Capital Goods,0.8002
6133041,SPE SP Equity,1000,ACTV,SGD,0.545,0.2133478,20,Industrials,2010,Capital Goods,0.8002
6133944,SHS SP Equity,1000,ACTV,SGD,0.29,0.4311102,10,Energy,1010,Energy,0.8002
6136233,1044 HK Equity,500,ACTV,HKD,83.75,0.7710298,30,Consumer Staples,3030,Household & Personal Products,0.12901
6137968,1225 HK Equity,2000,ACTV,HKD,1.18,0.7750074,25,Consumer Discretionary,2520,Consumer Durables & Apparel,0.12901
